timestamp_s,x,y,yaw,seq
9.300000,23.00000,0.25000,-0.244979,14
9.300000,24.00000,0.00000,-0.244979,15
9.300000,25.00000,-0.25000,-0.463648,16
9.300000,26.00000,-0.75000,-0.463648,17
9.300000,27.00000,-1.25000,-0.244979,18
9.300000,28.00000,-1.50000,0.000000,19
9.300000,29.00000,-1.50000,0.000000,20
9.300000,30.00000,-1.50000,0.000000,21
9.300000,31.00000,-1.50000,0.463648,22
9.300000,32.00000,-1.00000,0.244979,23
9.300000,33.00000,-0.75000,0.244979,24
9.300000,34.00000,-0.50000,0.000000,25
9.300000,35.00000,-0.50000,0.000000,26
9.300000,36.00000,-0.50000,0.000000,27
9.300000,37.00000,-0.50000,0.000000,28
9.300000,38.00000,-0.50000,0.000000,29
9.300000,39.00000,-0.50000,0.000000,30
9.400000,8.89542,0.54861,-0.043979,0
9.400000,10.00000,0.50000,0.000000,1
9.400000,11.00000,0.50000,0.000000,2
9.400000,12.00000,0.50000,0.244979,3
9.400000,13.00000,0.75000,0.244979,4
9.400000,14.00000,1.00000,0.463648,5
9.400000,15.00000,1.50000,0.463648,6
9.400000,16.00000,2.00000,0.000000,7
9.400000,17.00000,2.00000,0.000000,8
9.400000,18.00000,2.00000,0.000000,9
9.400000,19.00000,2.00000,-0.244979,10
9.400000,20.00000,1.75000,-0.463648,11
9.400000,21.00000,1.25000,-0.463648,12
9.400000,22.00000,0.75000,-0.463648,13
9.400000,23.00000,0.25000,-0.244979,14
9.400000,24.00000,0.00000,-0.244979,15
9.400000,25.00000,-0.25000,-0.463648,16
9.400000,26.00000,-0.75000,-0.463648,17
9.400000,27.00000,-1.25000,-0.244979,18
9.400000,28.00000,-1.50000,0.000000,19
9.400000,29.00000,-1.50000,0.000000,20
9.400000,30.00000,-1.50000,0.000000,21
9.400000,31.00000,-1.50000,0.463648,22
9.400000,32.00000,-1.00000,0.244979,23
9.400000,33.00000,-0.75000,0.244979,24
9.400000,34.00000,-0.50000,0.000000,25
9.400000,35.00000,-0.50000,0.000000,26
9.400000,36.00000,-0.50000,0.000000,27
9.400000,37.00000,-0.50000,0.000000,28
9.400000,38.00000,-0.50000,0.000000,29
9.400000,39.00000,-0.50000,0.000000,30
9.500000,8.97539,0.58335,0.161237,0
9.500000,10.00000,0.75000,0.000000,1
9.500000,11.00000,0.75000,0.000000,2
9.500000,12.00000,0.75000,0.000000,3
9.500000,13.00000,0.75000,0.244979,4
9.500000,14.00000,1.00000,0.463648,5
9.500000,15.00000,1.50000,0.463648,6
9.500000,16.00000,2.00000,0.000000,7
9.500000,17.00000,2.00000,0.000000,8
9.500000,18.00000,2.00000,0.000000,9
9.500000,19.00000,2.00000,-0.244979,10
9.500000,20.00000,1.75000,-0.463648,11
9.500000,21.00000,1.25000,-0.463648,12
9.500000,22.00000,0.75000,-0.463648,13
9.500000,23.00000,0.25000,-0.244979,14
9.500000,24.00000,0.00000,-0.244979,15
9.500000,25.00000,-0.25000,-0.463648,16
9.500000,26.00000,-0.75000,-0.463648,17
9.500000,27.00000,-1.25000,-0.244979,18
9.500000,28.00000,-1.50000,0.000000,19
9.500000,29.00000,-1.50000,0.000000,20
9.500000,30.00000,-1.50000,0.000000,21
9.500000,31.00000,-1.50000,0.463648,22
9.500000,32.00000,-1.00000,0.244979,23
9.500000,33.00000,-0.75000,0.244979,24
9.500000,34.00000,-0.50000,0.000000,25
9.500000,35.00000,-0.50000,0.000000,26
9.500000,36.00000,-0.50000,0.000000,27
9.500000,37.00000,-0.50000,0.000000,28
9.500000,38.00000,-0.50000,0.000000,29
9.500000,39.00000,-0.50000,0.000000,30
9.600000,9.08772,0.61574,0.146126,0
9.600000,10.00000,0.75000,0.000000,1
9.600000,11.00000,0.75000,0.000000,2
9.600000,12.00000,0.75000,0.000000,3
9.600000,13.00000,0.75000,0.244979,4
9.600000,14.00000,1.00000,0.463648,5
9.600000,15.00000,1.50000,0.463648,6
9.600000,16.00000,2.00000,0.000000,7
